ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
APLZ,0,0,,0.0,wordfreq,normal
APMC,0,0,,1.23,wordfreq,normal
APMCR,0,0,,0.0,wordfreq,normal
APMCU,0,0,,0.0,wordfreq,normal
APMU,0,0,,0.0,wordfreq,normal
APOC,0,1,0.0,2.09,wordfreq,normal
APOG,6,0,1.0,0.0,wordfreq,normal
APOS,0,1,0.0,2.51,wordfreq,normal
APPC,12,2,0.857,1.31,wordfreq,normal
APPF,2,1,0.667,0.0,wordfreq,normal
APPN,3,3,0.5,1.13,wordfreq,normal
APPS,49,1242,0.038,4.35,case_ratio,cashtag_only
APPX,1,17,0.056,1.97,wordfreq,normal
APRB,0,0,,0.0,wordfreq,normal
APRE,3,0,1.0,1.09,wordfreq,normal
APRH,0,0,,0.0,wordfreq,normal
APRJ,0,0,,0.0,wordfreq,normal
APRN,20,3,0.87,1.44,wordfreq,normal
APRP,0,0,,0.0,wordfreq,normal
APRT,0,0,,1.26,wordfreq,normal
APRW,0,0,,0.0,wordfreq,normal
APRZ,0,0,,0.0,wordfreq,normal
APTV,10,0,1.0,0.0,wordfreq,normal
APUE,0,0,,0.0,wordfreq,normal
APUR,0,0,,0.0,wordfreq,normal
APURR,0,0,,0.0,wordfreq,normal
APUS,0,4,0.0,2.14,wordfreq,normal
APVO,4,0,1.0,0.0,wordfreq,normal
APWC,3,0,1.0,0.0,wordfreq,normal
APXM,0,0,,0.0,wordfreq,normal
APXT,23,0,1.0,0.0,wordfreq,normal
APXTU,0,0,,0.0,wordfreq,normal
APXTW,0,0,,0.0,wordfreq,normal
APYX,0,0,,0.0,wordfreq,normal
AQEC,0,0,,0.0,wordfreq,normal
AQLG,0,0,,0.0,wordfreq,normal
AQLT,0,0,,0.0,wordfreq,normal
AQMS,10,0,1.0,0.0,wordfreq,normal
AQNB,0,0,,0.0,wordfreq,normal
AQST,4,0,1.0,0.0,wordfreq,normal
AQWA,0,0,,0.0,wordfreq,normal
ARAI,3,0,1.0,2.24,wordfreq,normal
ARAY,0,0,,1.47,wordfreq,normal
ARBB,0,0,,0.0,wordfreq,normal
ARBE,1,0,1.0,1.05,wordfreq,normal
ARBEW,0,0,,0.0,wordfreq,normal
ARBK,7,0,1.0,0.0,wordfreq,normal
ARCB,0,0,,0.0,wordfreq,normal
ARCC,15,3,0.833,1.05,wordfreq,normal
ARCI,2,1,0.667,1.43,wordfreq,normal
ARCIU,0,0,,0.0,wordfreq,normal
ARCIW,0,0,,0.0,wordfreq,normal
ARCL,0,0,,0.0,wordfreq,normal
ARCLR,0,0,,0.0,wordfreq,normal
ARCLU,0,0,,0.0,wordfreq,normal
ARCLW,0,0,,0.0,wordfreq,normal
ARCM,0,0,,0.0,wordfreq,normal
ARCO,0,1,0.0,2.56,wordfreq,normal
ARCT,20,1,0.952,1.5,wordfreq,normal
ARCX,1,1,0.5,0.0,wordfreq,normal
ARDC,1,0,1.0,1.33,wordfreq,normal
ARDT,0,0,,0.0,wordfreq,normal
ARDX,12,3,0.8,0.0,wordfreq,normal
AREC,12,0,1.0,1.34,wordfreq,normal
AREN,8,1756,0.005,2.81,case_ratio,cashtag_only
ARES,1,6,0.143,3.09,wordfreq,normal
ARGT,0,0,,0.0,wordfreq,normal
ARGX,0,0,,0.0,wordfreq,normal
ARHS,0,0,,0.0,wordfreq,normal
ARIS,3,5,0.375,2.61,wordfreq,normal
ARKB,0,0,,0.0,wordfreq,normal
